volumetric_strain,stress_300K_GPa,stress_400K_GPa,stress_500K_GPa
0.105500000,0.407227979,0.392428988,0.373129277
0.106000000,0.410777441,0.395953793,0.376575608
0.106500000,0.414349626,0.399501898,0.380045404
0.107000000,0.417944640,0.403073409,0.383538771
0.107500000,0.421562588,0.406668433,0.387055818
0.108000000,0.425203574,0.410287078,0.390596651
0.108500000,0.428867703,0.413929450,0.394161378
0.109000000,0.432555081,0.417595657,0.397750107
0.109500000,0.436265812,0.421285804,0.401362945
0.110000000,0.440000000,0.425000000,0.405000000
