 epoch     train_error      test_error
     0 4.086000000e-02 1.104000000e-02
    10 8.273000000e-04 8.317000000e-04
    20 5.493000000e-04 5.667000000e-04
    30 4.163000000e-04 4.682000000e-04
    40 3.258000000e-04 3.584000000e-04
    50 2.800000000e-04 3.174000000e-04
    60 2.377000000e-04 2.751000000e-04
    70 2.064000000e-04 2.423000000e-04
    80 1.884000000e-04 2.252000000e-04
    90 1.612000000e-04 1.906000000e-04
   100 1.461000000e-04 1.943000000e-04
   110 1.300000000e-04 1.656000000e-04
   120 1.260000000e-04 1.622000000e-04
   130 1.155000000e-04 1.433000000e-04
   140 1.133000000e-04 1.437000000e-04
   150 9.888000000e-05 1.430000000e-04
   160 9.674000000e-05 1.234000000e-04
   170 9.258000000e-05 1.191000000e-04
   180 8.484000000e-05 1.116000000e-04
   190 8.879000000e-05 1.346000000e-04
   200 7.583000000e-05 1.000000000e-04
   210 8.308000000e-05 1.020000000e-04
   220 7.785000000e-05 9.834000000e-05
   230 6.907000000e-05 9.833000000e-05
   240 7.984000000e-05 1.031000000e-04
   250 6.232000000e-05 8.921000000e-05
   260 6.546000000e-05 9.967000000e-05
   270 6.741000000e-05 1.073000000e-04
   280 5.516000000e-05 7.137000000e-05
   290 5.425000000e-05 7.701000000e-05
   299 5.680000000e-05 7.609000000e-05
