 epoch     train_error      test_error
     0 6.819000000e-02 1.721000000e-02
    10 5.322000000e-04 5.522000000e-04
    20 3.407000000e-04 3.515000000e-04
    30 2.510000000e-04 2.505000000e-04
    40 1.993000000e-04 2.056000000e-04
    50 1.779000000e-04 1.909000000e-04
    60 1.596000000e-04 1.813000000e-04
    70 1.454000000e-04 1.555000000e-04
    80 1.451000000e-04 1.577000000e-04
    90 1.333000000e-04 1.552000000e-04
   100 1.309000000e-04 1.617000000e-04
   110 1.154000000e-04 1.378000000e-04
   120 1.138000000e-04 1.233000000e-04
   130 1.655000000e-04 2.321000000e-04
   140 1.227000000e-04 1.552000000e-04
   150 9.788000000e-05 1.144000000e-04
   160 8.228000000e-05 9.591000000e-05
   170 1.066000000e-04 1.200000000e-04
   180 8.436000000e-05 1.069000000e-04
   190 8.654000000e-05 1.247000000e-04
   200 1.596000000e-04 2.722000000e-04
   210 8.717000000e-05 1.017000000e-04
   220 8.038000000e-05 9.454000000e-05
   230 8.986000000e-05 1.107000000e-04
   240 9.353000000e-05 1.056000000e-04
   250 8.136000000e-05 9.767000000e-05
   260 6.493000000e-05 7.435000000e-05
   270 1.018000000e-04 1.040000000e-04
   280 1.315000000e-04 1.554000000e-04
   290 6.964000000e-05 1.299000000e-04
   300 8.757000000e-05 9.363000000e-05
   310 5.407000000e-05 6.804000000e-05
   320 4.916000000e-05 5.846000000e-05
   330 1.499000000e-04 1.859000000e-04
   340 2.479000000e-04 2.587000000e-04
   350 1.867000000e-04 2.241000000e-04
   360 1.179000000e-04 1.543000000e-04
   370 6.439000000e-05 7.739000000e-05
   380 5.511000000e-05 6.394000000e-05
   390 5.058000000e-05 6.585000000e-05
   400 4.906000000e-05 5.634000000e-05
   410 7.702000000e-05 1.228000000e-04
   420 7.907000000e-05 9.513000000e-05
   430 4.843000000e-05 5.707000000e-05
   440 5.878000000e-05 6.685000000e-05
   450 7.555000000e-05 1.391000000e-04
   460 2.305000000e-04 2.517000000e-04
   470 1.047000000e-04 1.312000000e-04
   480 7.428000000e-05 9.299000000e-05
   490 1.355000000e-04 1.268000000e-04
   500 5.634000000e-05 9.146000000e-05
   510 5.377000000e-05 1.067000000e-04
   520 1.587000000e-04 1.643000000e-04
   530 1.632000000e-04 2.058000000e-04
   540 8.006000000e-05 8.641000000e-05
   550 5.441000000e-05 7.041000000e-05
   560 4.591000000e-05 5.692000000e-05
   570 6.611000000e-05 8.792000000e-05
   580 6.283000000e-05 7.911000000e-05
   590 6.113000000e-05 1.045000000e-04
   599 1.667000000e-04 2.342000000e-04
